pool	n_swaps	rune_volume_mean	rune_volume_std	rune_volume_min	rune_volume_25%	rune_volume_50%	rune_volume_75%	rune_volume_max	usd_volume_mean	usd_volume_std	usd_volume_min	usd_volume_25%	usd_volume_50%	usd_volume_75%	usd_volume_max	fee_mean	fee_std	fee_min	fee_25%	fee_50%	fee_75%	fee_max	slip_mean	slip_std	slip_min	slip_25%	slip_50%	slip_75%	slip_max	r_swaps	r_double_swaps
BNB.BNB	11428	2552.0342255537	4084.2491424028244	1.00069726101026	760.7351425827765	1640.854115769615	3414.7701629772027	200000.0	1268.7978151020495	1980.577775134996	0.42260712975215775	365.1111548922262	832.1000361752413	1669.7935392684026	87587.6251206258	4.0724392488431915	41.53658479937948	0.0	0.022402395	0.13137716500000002	1.89846381	2215.63825181	0.0026973223661183056	0.004482841259979833	0.0	0.0008	0.0016	0.0028	0.139	0.9135456772838642	0.0864543227161358
BNB.AVA-645	1309	433.769824568011	570.0083861315575	1.61408475	82.67994095118159	236.14629976217498	550.598791456037	6500.0	208.17074758111312	252.50236865082837	1.2612154736943502	39.850714166903856	127.55884903510672	288.7094326321924	2866.8138708097395	1.2409518112528646	3.7054558613912443	2.213e-05	0.0710537	0.30204929	1.20426593	55.40393843	0.00449327731092437	0.004964678052542239	0.0	0.0021	0.0027	0.0059	0.0675	0.3177998472116119	0.6822001527883881
BNB.TWT-8C2	536	366.18459228737424	655.8886672242531	1.91605046588022	148.54890763288526	230.3577673282295	416.8452725314185	10000.0	165.1176237621473	269.0552188295709	0.9590512325077852	67.27596969786532	124.112747639749	185.84684401369006	4436.380005033189	28.628759278899256	376.6668691172882	8.247e-05	0.6283550124999999	2.056084815	8.4058621425	8622.243962100001	0.012786380597014925	0.019251637657168613	0.0001	0.0068	0.0108	0.014025	0.3028	0.46455223880597013	0.5354477611940298
BNB.SWINGBY-888	126	354.10983929414647	416.5540155486463	10.0	196.47412290632928	236.60632565290751	321.7995196452425	2623.4559	149.7446758385909	168.41440701329284	4.8784297623910495	82.79667969034699	98.21786525638014	145.09433929438558	1077.677833889016	9.183836401190476	35.686054106376815	0.00456308	0.480827815	0.75410233	2.500252885	309.58877254	0.011873015873015874	0.011276860646108298	0.0002	0.0047	0.00625	0.015325000000000002	0.0627	0.746031746031746	0.25396825396825395
BNB.ETH-1C9	665	438.7085236865665	452.84797912882954	2.19908177282042	271.56306645146	332.378910792907	462.519866974017	6378.47557389	216.3705994823001	235.07015006947918	0.8435085583980231	137.522371014471	165.15663795549688	208.69937950513358	3234.363613868749	3.0155164439248123	13.477914911947304	2.1e-07	0.6854091	0.94609888	1.69304789	249.42678932	0.008874436090225564	0.009987530283556622	0.0	0.0054	0.0065	0.0088	0.1365	0.20601503759398496	0.793984962406015
BNB.BUSD-BD1	6170	880.5588106183646	928.7140576127555	1.48945790868774	428.2070925507395	694.0	1276.402796351185	29926.01962861	422.0953588352338	439.5349265649808	1.0	201.5866322826691	311.5582313576599	609.001925	13718.627049052195	3.528409618619125	46.819979835181186	1.417e-05	0.48232933749999995	0.9878868949999999	1.560729805	2389.28372067	0.00434293354943274	0.005431382738080673	0.0	0.0024	0.0032	0.0044	0.1424	0.860291734197731	0.13970826580226905
BNB.BTCB-1DE	2246	448.12282849144356	268.26394764617874	10.0	242.0	435.4327651162345	620.6705489661192	4379.60055774901	209.20668580412786	126.73216644065353	5.5532234735750405	113.25092764501248	185.4456236639707	307.967881183209	1761.4419229808032	1.188056568330365	4.526232784291264	1e-08	4.72825e-05	0.174216675	0.95426794	55.82698196	0.005621905609973285	0.0048458345368083315	0.0001	0.0035	0.0049	0.006	0.0527	0.8646482635796973	0.13535173642030277
BNB.BULL-BE4	367	155.01695235604006	183.29709553664853	14.04	78.34547172786304	113.748165319473	179.87542510499998	2500.0	80.26820226856071	95.46555077452757	9.211366896084645	32.68807801402458	59.231640134272965	101.08379588591617	1195.5606368618278	1.383410497493188	8.382066212650573	1.75e-06	0.00045034000000000003	0.1914897	0.8183448900000001	134.1176161	0.02006348773841962	0.05595519555067179	0.0011	0.005849999999999999	0.0097	0.01695	0.9051	0.5040871934604905	0.49591280653950953
BNB.BOLT-4C6	18	69.64801302231615	61.04598276224988	6.126013150331651	22.8519913698563	63.932076916132644	80.47921883311741	210.0	31.73898980983096	27.52467206990118	2.9776084448250937	11.164154140630885	31.237374268870276	34.70290519567237	97.13596603781826	180.0447523911111	522.3173995653605	0.00948023	0.41371502	1.250150865	1.6923794225	1744.30185039	0.03819444444444445	0.03610257400343087	0.0031	0.01235	0.0345	0.040549999999999996	0.1293	0.3333333333333333	0.6666666666666666
BNB.ETHBULL-D33	145	109.27910483180028	94.06249459297491	17.0858384548368	43.6753547423183	58.5505393176116	179.40117644467603	635.437638792065	49.118913139643006	40.691542879468145	6.034590219621233	19.256033767211353	28.664116442990647	70.6299776221754	263.79048404379694	0.6211250510344828	1.5506152341730086	0.00205295	0.05919306	0.10993574	0.52779887	15.52280448	0.008278620689655172	0.007041160595295043	0.0013	0.0033	0.0044	0.013000000000000001	0.0498	0.13793103448275862	0.8620689655172413
BNB.EOSBULL-F0D	81	122.46394887053924	54.844644856863965	63.8520964222734	75.0	133.235188728001	141.71879597	500.0	52.359302114432175	23.272889471593714	27.23029381492572	29.207366221369124	56.87640682165853	63.0570510968306	201.09411782570496	1.2683042995061728	1.3652950470238352	0.13146736	0.19911742	1.05914776	2.08546039	10.88631731	0.02683333333333333	0.013310108940200302	0.0131	0.0149	0.0287	0.0328	0.1149	0.8395061728395061	0.16049382716049382
BNB.FTM-A64	173	171.0373958660361	178.6687965926519	8.3202	108.50422245531601	151.85050759	202.098591640141	2283.1039006606397	83.7547717907872	81.57944239257053	4.048048816384869	65.04227913545384	81.468972796925	96.92049877940298	1080.6649570094808	9.134432205606938	31.063421158373398	0.05531051	1.02130627	1.68184919	3.07962278	343.96820114	0.02119421965317919	0.024501997334300658	0.001	0.0152	0.0182	0.0258	0.3261	0.3236994219653179	0.6763005780346821
BNB.CAN-677	48	156.3040780584042	200.37116090685146	46.942548135314595	88.52891342361208	106.9422932163475	142.228283935403	1330.04878563958	73.71577634606794	96.48508739454158	17.05309948685182	43.24402237716986	51.02964837036541	63.684581412821515	652.0728424376373	8.714476705416665	27.331684727110595	0.12450891	0.5926245975	1.0717556	1.750056695	169.2801747	0.03400416666666667	0.056945808350154115	0.0053	0.0128	0.018750000000000003	0.025599999999999998	0.2777	0.2916666666666667	0.7083333333333334
BNB.MITX-CAA	2	450.244938105065	495.32114162070815	100.0	275.1224690525325	450.244938105065	625.3674071575974	800.48987621013	190.7425273809788	211.3631956910863	41.286178414552396	116.01435289776559	190.7425273809788	265.470701864192	340.1988763474052	44.78914787	25.435012148830122	26.8038783	35.796513085	44.78914787	53.781782655	62.77441744	0.09050000000000001	0.10352043276571057	0.0173	0.0539	0.09050000000000001	0.12710000000000002	0.1637	0.5	0.5
BNB.DOS-120	68	167.23857131982015	131.73835120448928	32.521925550803	98.56770223025435	120.3215478036295	200.87331468098625	1000.0	78.87162284297403	64.20828984925492	16.872457570339904	48.16254860259097	54.83735440750846	98.93296491503322	490.441127556367	10.71045013220588	32.31697124255914	0.08425583	0.738538535	1.039938295	6.4966329775	251.20216954	0.028319117647058828	0.024353713482831794	0.0052	0.014974999999999999	0.0174	0.035100000000000006	0.1745	0.29411764705882354	0.7058823529411765
all	23382	1575.4808069253586	3060.7813332535634	1.00069726101026	325.17117479982625	800.0	1802.81849977334	200000.0	776.7918317579944	1488.6855985276595	0.42260712975215775	164.66149739515117	381.69568317216346	887.5368433686967	87587.6251206258	4.18561946735737	70.24015696543842	0.0	0.0517019975	0.5419503649999999	1.55430833	8622.243962100001	0.0046707125138995805	0.010673235207062344	0.0	0.0014	0.0028	0.0049	0.9051	0.8107090924642888	0.18929090753571123
